TOTAL,EMAIL,SUB_CATEGORY,URL
17,2,lactic-acid,https://www.iyp.com.tw/showroom.php?cate_name_eng_lv1=food-catering&cate_name_eng_lv3=lactic-acid&a_id=0
77,8,catering-banquet-supplies,https://www.iyp.com.tw/showroom.php?cate_name_eng_lv1=food-catering&cate_name_eng_lv3=catering-banquet-supplies&a_id=0
